iter	RMSE
177	4086.27231
178	4084.391356
179	4081.652309
180	4079.178578
181	4074.593081
182	4071.162219
183	4067.26187
184	4064.745819
185	4062.144
186	4057.16834
187	4054.814681
188	4052.849831
189	4050.163448
190	4045.999108
191	4042.612358
192	4041.751619
193	4039.288682
194	4035.508229
195	4033.461149
196	4032.587919
197	4031.91807
198	4030.794919
199	4029.347867
200	4027.163413
201	4026.268362
202	4026.023199
203	4024.919636
204	4022.347538
205	4021.74024
206	4019.563129
207	4016.853007
208	4014.59004
209	4012.932129
210	4010.17696
211	4008.013831
212	4004.142052
213	4001.437894
214	4000.687362
215	3999.712803
216	3996.58386
217	3993.982704
218	3991.053897
219	3990.125196
220	3988.005873
221	3986.963653
222	3984.95922
223	3983.413249
224	3981.879038
225	3979.686581
226	3979.073626
227	3977.093332
228	3975.058409
229	3973.606497
230	3972.639697
231	3968.816995
232	3967.547325
233	3964.664182
234	3962.987953
235	3960.64597
236	3958.31731
237	3956.51498
238	3954.099023
239	3952.435675
240	3949.989898
241	3949.353938
242	3947.30458
243	3946.489813
244	3946.002429
245	3943.603455
246	3942.64404
247	3942.139821
248	3941.903904
249	3938.593163
250	3936.362277
251	3935.176401
252	3933.565956
253	3929.595112
254	3927.661165
255	3926.028965
256	3924.700898
257	3921.950821
258	3917.879324
259	3916.861386
260	3916.310951
261	3914.462686
262	3913.005348
263	3911.526141
264	3909.565902
265	3906.838529
266	3903.832738
267	3902.546653
268	3900.016116
269	3899.184653
270	3898.472681
271	3895.573789
272	3894.91018
273	3894.181118
274	3893.704831
275	3892.087744
276	3891.108286
277	3889.619328
278	3887.753173
279	3885.406967
280	3883.867172
281	3882.934625
282	3881.484649
283	3880.017002
284	3878.714997
285	3877.228276
286	3873.638283
287	3872.827096
288	3872.518715
289	3869.954538
290	3867.634854
291	3866.490922
292	3865.533659
293	3864.086601
294	3862.699692
295	3861.273144
296	3860.141862
297	3859.124956
298	3857.75769
299	3856.561832
300	3854.183304
301	3851.817984
302	3850.421979
303	3849.061255
304	3846.990374
305	3845.760704
306	3844.169481
307	3842.804607
308	3839.645995
309	3835.459748
310	3833.984204
311	3832.88066
312	3830.100045
313	3828.618533
314	3827.504483
315	3826.35059
316	3823.808757
317	3822.914014
318	3821.793637
319	3821.369023
320	3819.376771
321	3818.339377
322	3816.499946
323	3813.307524
324	3810.924678
325	3807.757897
326	3807.033754
327	3805.980984
328	3802.656466
329	3800.031008
330	3799.059723
331	3796.351163
332	3794.919347
333	3793.871058
334	3792.780306
335	3791.743175
336	3788.320059
337	3786.099841
338	3784.80641
339	3780.267695
340	3778.970118
341	3776.69721
342	3775.58934
343	3773.183707
344	3771.484271
345	3770.556173
346	3770.097639
347	3767.499291
348	3765.710398
349	3763.484776
350	3763.018337
351	3762.276797
352	3760.460131
353	3759.221376
354	3756.520276
355	3753.426384
356	3750.836344
357	3749.741169
358	3748.519357
359	3744.993907
360	3743.065552
361	3741.664018
362	3740.584997
363	3737.017825
364	3733.836883
365	3731.917971
366	3731.683927
367	3729.557352
368	3725.620602
369	3721.986451
370	3719.302801
371	3718.976828
372	3716.916944
373	3716.627347
374	3715.626309
375	3712.638136
376	3709.649175
377	3707.795394
378	3705.254159
379	3703.777839
380	3700.903204
381	3699.544462
382	3697.111455
383	3694.858067
384	3693.764479
385	3692.353487
386	3691.406072
387	3689.756901
388	3688.443451
389	3686.827696
390	3683.993431
391	3680.797911
392	3678.07263
393	3674.931347
394	3674.137342
395	3671.481896
396	3670.115565
397	3668.683794
398	3665.331393
399	3664.294968
400	3661.429265
401	3657.868851
402	3654.338
403	3652.486436
404	3651.280118
405	3650.169555
406	3649.85888
407	3648.894027
408	3645.585562
409	3645.263081
410	3642.728278
411	3640.271481
412	3639.200817
413	3636.350555
414	3635.04574
415	3632.912458
416	3631.8513
417	3630.254234
418	3629.904738
419	3628.545272
420	3628.341095
421	3627.189604
422	3624.818934
423	3623.490603
424	3622.802585
425	3620.654845
426	3618.284203
427	3617.398229
428	3616.632876
429	3615.763419
430	3612.818919
431	3610.482325
432	3609.015399
433	3608.285231
434	3605.735107
435	3603.495487
436	3600.328083
437	3597.274454
438	3595.828679
439	3594.898267
440	3594.223198
441	3593.198247
442	3592.170299
443	3590.51379
444	3588.454441
445	3585.196336
446	3584.2567
447	3579.735666
448	3577.615246
449	3574.877141
450	3574.386011
451	3573.124111
452	3572.070508
453	3569.360931
454	3568.954655
455	3568.226146
456	3567.859165
457	3566.657015
458	3563.699731
459	3561.697621
460	3560.642016
461	3559.948355
462	3557.903737
463	3557.428352
464	3554.398106
465	3552.548874
466	3550.693889
467	3549.000196
468	3547.290386
469	3545.578414
470	3544.044838
471	3543.433726
472	3543.083318
473	3541.553692
474	3540.020478
475	3538.043041
476	3537.153565
477	3536.689015
478	3535.344673
479	3534.702931
480	3533.844934
481	3532.840734
482	3530.99238
483	3529.731094
484	3529.117395
485	3525.715104
486	3524.418045
487	3522.871858
488	3520.22289
489	3518.736718
490	3515.749023
491	3513.114695
492	3511.287704
493	3509.958503
494	3509.240743
495	3509.008323
496	3508.279033
497	3506.527487
498	3504.712641
499	3503.134754
500	3501.206834
501	3500.207054
502	3498.064871
503	3497.443278
504	3496.883492
505	3496.08041
506	3494.857661
507	3494.189236
508	3493.190597
509	3491.905187
510	3489.843321
511	3487.771593
512	3487.336592
513	3485.287978
514	3484.746911
515	3482.780476
516	3481.515439
517	3480.935737
518	3480.092725
519	3478.432502
520	3477.431604
521	3476.013064
522	3474.074197
523	3472.212336
524	3470.876149
525	3469.699455
526	3468.739442
527	3467.164379
528	3466.730025
529	3465.170771
530	3464.618711
531	3463.859954
532	3462.060735
533	3460.849148
534	3459.172116
535	3458.334168
536	3457.687534
537	3456.434117
538	3455.185899
539	3452.927286
540	3450.887131
541	3450.094501
542	3448.455322
543	3446.052012
544	3444.367904
545	3443.006002
546	3442.690333
547	3441.064285
548	3439.308377
549	3438.602267
550	3438.128141
551	3437.231764
552	3436.296334
553	3434.420168
554	3433.288139
555	3432.338167
556	3431.248533
557	3429.198059
558	3427.794555
559	3427.078467
560	3426.48318
561	3425.572741
562	3425.019818
563	3424.752712
564	3422.669077
565	3421.600093
566	3420.150701
567	3419.207588
568	3418.605537
569	3418.134878
570	3415.828199
571	3415.201941
572	3414.852167
573	3413.533621
574	3411.469384
575	3410.750108
576	3410.029261
577	3409.279057
578	3407.90818
579	3407.026762
580	3403.650536
581	3403.084169
582	3400.330327
583	3399.589743
584	3397.622227
585	3396.251804
586	3395.083407
587	3393.799429
588	3393.662504
589	3392.559818
590	3392.191535
591	3391.824189
592	3389.870636
593	3388.594763
594	3387.348153
595	3386.050885
596	3384.877486
597	3382.27658
598	3380.326391
599	3378.547662
600	3375.890153
601	3375.556869
602	3374.424215
603	3372.752089
604	3372.260129
605	3371.434207
606	3370.607655
607	3369.425471
608	3368.054859
609	3367.198456
610	3366.575479
611	3366.033914
612	3364.528897
613	3362.634271
614	3361.099291
615	3359.900174
616	3359.587667
617	3357.927565
618	3356.932535
619	3355.723604
620	3355.194247
621	3353.104037
622	3351.275204
623	3350.397646
624	3349.32225
625	3348.792787
626	3347.607215
627	3346.445493
628	3345.383342
629	3344.5777
630	3344.170637
631	3343.453387
632	3342.061113
633	3340.847529
634	3338.595887
635	3335.833277
636	3333.544425
637	3331.477131
638	3330.904436
639	3329.501742
640	3328.896554
641	3328.245819
642	3328.104905
643	3326.979198
644	3326.26552
645	3324.837036
646	3322.495353
647	3319.694827
648	3318.531385
649	3316.359338
650	3314.36667
651	3312.032635
652	3309.624841
653	3306.758664
654	3305.125304
655	3304.632082
656	3304.271533
657	3302.047265
658	3300.953765
659	3299.019389
660	3296.916082
661	3296.214028
662	3293.843993
663	3293.129848
664	3291.150978
665	3290.204824
666	3288.788089
667	3287.735959
668	3285.476207
669	3283.96129
670	3282.93911
671	3281.826472
672	3280.943758
673	3280.040907
674	3277.838949
675	3276.205781
676	3274.911635
677	3272.63134
678	3272.277562
679	3271.235697
680	3268.564208
681	3266.708728
682	3266.028866
683	3264.468982
684	3262.301937
685	3259.771757
686	3258.221871
687	3255.706725
688	3254.100964
689	3253.097291
690	3250.925636
691	3248.972099
692	3247.997184
693	3246.717334
694	3245.31764
695	3244.295579
696	3242.413226
697	3242.063098
698	3239.945741
699	3238.931429
700	3238.584812
701	3237.352122
702	3236.0927
703	3235.622897
704	3233.584755
705	3233.204541
706	3232.396292
707	3231.616817
708	3229.514781
709	3227.78247
710	3227.014861
711	3226.100193
712	3224.710761
713	3224.311705
714	3224.000281
715	3223.050931
716	3222.519858
717	3222.035403
718	3221.524869
719	3220.029198
720	3219.553764
721	3218.794765
722	3218.207369
723	3217.429985
724	3217.041959
725	3215.715357
726	3215.262844
727	3213.802284
728	3212.756001
729	3211.62495
730	3210.598572
731	3208.720168
732	3206.747709
733	3205.650077
734	3204.635579
735	3203.405702
736	3202.01449
737	3201.734271
738	3200.388682
739	3197.939833
740	3196.372175
741	3195.41659
742	3194.581575
743	3192.900339
744	3191.519445
745	3189.232859
746	3188.211348
747	3185.99509
748	3184.166672
749	3183.729147
750	3181.617503
751	3180.125162
752	3178.617153
753	3177.60164
754	3176.800519
755	3176.04284
756	3175.299245
757	3173.129483
758	3171.116541
759	3168.939237
760	3167.429149
761	3166.363815
762	3164.785952
763	3164.057603
764	3162.847257
765	3161.750247
766	3160.664038
767	3159.557161
768	3158.567497
769	3156.044588
770	3154.814063
771	3153.691686
772	3153.192198
773	3152.454473
774	3149.863926
775	3147.007171
776	3146.475787
777	3145.324006
778	3144.292236
779	3143.976791
780	3143.303865
781	3141.813888
782	3141.069688
783	3139.685583
784	3138.560932
785	3136.362309
786	3135.088135
787	3133.862019
788	3132.062314
789	3131.282104
790	3130.552776
791	3129.029194
792	3126.876306
793	3126.773438
794	3125.102799
795	3124.469695
796	3123.746816
797	3122.960244
798	3122.314983
799	3121.396775
800	3120.908662
801	3120.436069
802	3119.644316
803	3118.272866
804	3116.643549
805	3114.635376
806	3112.4975
807	3111.663947
808	3110.773055
809	3109.59801
810	3108.875685
811	3108.149457
812	3106.542305
813	3104.732206
814	3104.055066
815	3102.337537
816	3101.989747
817	3101.014295
818	3100.246754
819	3100.048954
820	3099.088826
821	3098.590633
822	3097.424504
823	3096.086616
824	3094.25959
825	3092.624762
826	3091.094908
827	3090.23006
828	3089.338251
829	3088.598636
830	3087.079588
831	3085.384083
832	3084.879316
833	3082.953084
834	3082.291304
835	3080.492127
836	3078.435944
837	3076.942344
838	3076.179203
839	3075.49144
840	3073.855408
841	3072.129903
842	3070.185191
843	3068.729453
844	3067.86519
845	3066.726305
846	3066.388826
847	3065.530601
848	3063.895052
849	3062.916196
850	3062.10449
851	3061.519464
852	3060.944747
853	3060.514399
854	3059.283972
855	3058.593485
856	3057.612398
857	3056.653851
858	3056.009686
859	3055.128792
860	3054.812384
861	3053.924563
862	3052.422356
863	3051.14168
864	3050.005466
865	3047.89703
866	3045.051871
867	3044.753345
868	3043.965788
869	3043.122794
870	3042.894506
871	3041.494765
872	3039.534359
873	3039.109313
874	3038.89593
875	3038.35035
876	3037.926269
877	3035.678729
878	3034.895874
879	3034.030724
880	3032.002125
881	3031.007389
882	3030.693085
883	3028.252211
884	3027.97451
885	3026.715332
886	3026.064667
887	3024.454806
888	3023.241966
889	3022.76436
890	3020.284737
891	3019.635438
892	3018.750358
893	3017.813744
894	3016.490043
895	3015.472744
896	3014.755162
897	3013.897711
898	3013.204746
899	3010.865545
900	3009.204266
901	3009.119342
902	3008.397999
903	3007.818969
904	3007.513577
905	3006.82264
906	3006.501181
907	3005.850071
908	3005.377245
909	3003.576197
910	3003.193768
911	3002.490879
912	3002.379248
913	3001.731748
914	3000.906373
915	3000.028623
916	2998.209564
917	2997.766126
918	2996.829105
919	2995.757909
920	2995.023741
921	2994.047735
922	2992.568688
923	2990.292818
924	2989.819187
925	2988.768456
926	2988.098773
927	2987.378793
928	2986.753763
929	2986.094648
930	2985.041397
931	2984.781608
932	2982.692344
933	2981.282791
934	2980.144848
935	2979.323521
936	2978.680377
937	2977.427463
938	2976.604237
939	2975.164313
940	2974.36924
941	2973.463601
942	2971.82817
943	2971.219823
944	2970.663801
945	2969.249093
946	2966.987575
947	2965.022425
948	2964.021401
949	2961.799559
950	2960.961012
951	2959.353859
952	2958.497516
953	2957.681879
954	2955.527934
955	2954.640333
956	2953.851029
957	2952.412915
958	2952.193669
959	2950.918928
960	2949.553091
961	2948.769737
962	2947.399335
963	2945.895746
964	2945.151619
965	2944.484104
966	2943.61583
967	2940.987731
968	2939.896389
969	2938.856529
970	2938.198595
971	2937.947623
972	2937.07847
973	2936.713372
974	2935.383485
975	2934.578609
976	2933.053218
977	2932.497857
978	2932.253567
979	2931.622477
980	2930.773759
981	2929.283235
982	2928.02692
983	2925.455808
984	2924.029354
985	2923.284915
986	2922.061139
987	2921.726515
988	2921.430718
989	2920.755887
990	2919.334207
991	2918.571536
992	2916.584975
993	2916.362745
994	2914.861335
995	2914.253123
996	2913.668106
997	2913.099622
998	2912.822456
999	2911.97374
