iter	Passed	Remaining
0	1	82
1	3	73
2	4	68
3	5	64
4	6	62
5	8	60
6	9	56
7	9	50
8	10	50
9	12	49
10	13	48
11	14	44
12	15	44
13	16	41
14	17	40
15	18	39
16	18	36
17	19	35
18	21	34
19	21	32
20	23	31
21	24	31
22	25	30
23	26	29
24	28	28
25	29	27
26	30	26
27	32	25
28	33	24
29	34	23
30	36	22
31	37	20
32	38	19
33	40	18
34	41	17
35	42	16
36	43	15
37	45	14
38	45	12
39	46	11
40	48	10
41	49	9
42	50	8
43	52	7
44	53	5
45	54	4
46	55	3
47	57	2
48	58	1
49	59	0
